Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'437054',1929,9,2.58 
'437054',1929,10,2.11 
'437054',1929,11,2.24 
'437054',1929,12,3.58 
'437054',1930,1,2.71 
'437054',1930,2,0.93 
'437054',1930,3,3.13 
'437054',1930,4,1.11 
'437054',1930,5,3.59 
'437054',1930,6,4.12 
'437054',1930,7,5.09 
'437054',1930,8,2.22 
'437054',1930,9,2.84 
'437054',1930,10,2.36 
'437054',1930,11,2 
'437054',1930,12,1.24 
'437054',1931,1,2.09 
'437054',1931,2,0.96 
'437054',1931,3,1.56 
'437054',1931,4,1.86 
'437054',1931,5,3.81 
'437054',1931,6,3.71 
'437054',1931,7,4.53 
'437054',1931,8,2.95 
'437054',1931,9,4.43 
'437054',1931,10,1.98 
'437054',1931,11,1.71 
'437054',1931,12,2.18 
'437054',1932,1,2.94 
'437054',1932,2,1.44 
'437054',1932,3,1.83 
'437054',1932,4,2.15 
'437054',1932,5,1.65 
'437054',1932,6,1.26 
'437054',1932,7,5.94 
'437054',1932,8,2.38 
'437054',1932,9,4.06 
'437054',1932,10,2.34 
'437054',1932,11,4.41 
'437054',1932,12,1.33 
'437054',1933,1,1.72 
'437054',1933,2,2.06 
'437054',1933,3,3.09 
'437054',1933,4,5.83 
'437054',1933,5,1.49 
'437054',1933,6,1.94 
'437054',1933,7,2.53 
'437054',1933,8,6.01 
'437054',1933,9,1.4 
'437054',1933,10,3.33 
'437054',1933,11,1.7 
'437054',1933,12,3.3 
'437054',1934,1,2.68 
'437054',1934,2,1.57 
'437054',1934,3,1.96 
'437054',1934,4,3.74 
'437054',1934,5,1.17 
'437054',1934,6,3.87 
'437054',1934,7,2.7 
'437054',1934,8,1.82 
'437054',1934,9,3.71 
'437054',1934,10,1.31 
'437054',1934,11,3.24 
'437054',1934,12,2.67 
'437054',1935,1,5.06 
'437054',1935,2,1.74 
'437054',1935,3,1.39 
'437054',1935,4,3.02 
'437054',1935,5,2.43 
'437054',1935,6,4.96 
'437054',1935,7,2.73 
'437054',1935,8,3.13 
'437054',1935,9,4.93 
'437054',1935,10,1.1 
'437054',1935,11,5.28 
'437054',1935,12,1.26 
'437054',1936,1,4.27 
'437054',1936,2,1.69 
'437054',1936,3,6.24 
'437054',1936,4,3.22 
'437054',1936,5,3.59 
'437054',1936,6,0.67 
'437054',1936,7,1.59 
'437054',1936,8,2.73 
'437054',1936,9,2.34 
'437054',1936,10,5.52 
'437054',1936,11,2.62 
'437054',1936,12,3.48 
'437054',1937,1,2.77 
'437054',1937,2,2.27 
'437054',1937,3,1.94 
'437054',1937,4,2.05 
'437054',1937,5,4.89 
'437054',1937,6,5.04 
'437054',1937,7,3.12 
'437054',1937,8,5.85 
'437054',1937,9,1.24 
'437054',1937,10,4.03 
'437054',1937,11,3.08 
'437054',1937,12,2.65 
'437054',1938,1,2.78 
'437054',1938,2,1.91 
'437054',1938,3,1.83 
'437054',1938,4,2.02 
'437054',1938,5,2.39 
'437054',1938,6,3.4 
'437054',1938,7,4.44 
'437054',1938,8,2.96 
'437054',1938,9,7.3 
'437054',1938,10,1.6 
'437054',1938,11,2.89 
'437054',1938,12,3.81 
'437054',1939,1,2.05 
'437054',1939,2,2.74 
'437054',1939,3,2.67 
'437054',1939,4,4.4 
'437054',1939,5,2.82 
'437054',1939,6,4.76 
'437054',1939,7,2.33 
'437054',1939,8,4.02 
'437054',1939,9,3.21 
'437054',1939,10,4.71 
'437054',1939,11,0.59 
'437054',1939,12,2.26 
'437054',1940,1,0.92 
'437054',1940,2,1.55 
'437054',1940,3,3.26 
'437054',1940,4,3.04 
'437054',1940,5,6.36 
'437054',1940,6,2.87 
'437054',1940,7,5.1 
'437054',1940,8,2.21 
'437054',1940,9,5.06 
'437054',1940,10,1.19 
'437054',1940,11,4.67 
'437054',1940,12,3.29 
'437054',1941,1,1.29 
'437054',1941,2,0.52 
'437054',1941,3,1.93 
'437054',1941,4,0.49 
'437054',1941,5,2.14 
'437054',1941,6,2.53 
'437054',1941,7,6.96 
'437054',1941,8,4.39 
'437054',1941,9,1.62 
'437054',1941,10,3.39 
'437054',1941,11,2.32 
'437054',1941,12,2.1 
'437054',1942,1,1.67 
'437054',1942,2,1.96 
'437054',1942,3,4.29 
'437054',1942,4,2.67 
'437054',1942,5,2.98 
'437054',1942,6,4.77 
'437054',1942,7,1.38 
'437054',1942,8,1.55 
'437054',1942,9,5.06 
'437054',1942,10,3.24 
'437054',1942,11,3.45 
'437054',1942,12,2.64 
'437054',1943,1,1.13 
'437054',1943,2,1.79 
'437054',1943,3,1.96 
'437054',1943,4,2.33 
'437054',1943,5,3.98 
'437054',1943,6,5.65 
'437054',1943,7,3.56 
'437054',1943,8,5.1 
'437054',1943,9,2.27 
'437054',1943,10,3.86 
'437054',1943,11,4.72 
'437054',1943,12,1.01 
'437054',1944,1,1.84 
'437054',1944,2,2.47 
'437054',1944,3,1.56 
'437054',1944,4,2.86 
'437054',1944,5,1.73 
'437054',1944,6,3.91 
'437054',1944,7,3.78 
'437054',1944,8,2.02 
'437054',1944,9,5.55 
'437054',1944,10,3.51 
'437054',1944,11,2.61 
'437054',1944,12,1.68 
'437054',1945,1,3.89 
